,PCA1,PCA2,neg,neu,pos
81,0.2216731700959717,-0.0166300262456706,0.417,0.388,0.194
783,-0.070231183756231,-0.0582204204429212,0.0,1.0,0.0
587,-0.050084931504063,-0.0265947202998513,0.0,1.0,0.0
797,-0.1473727230861014,0.3033832272930797,0.0,1.0,0.0
239,-0.1063364988118603,0.0618424201843146,0.0,1.0,0.0
290,-0.1115173267504319,0.1372280476782627,0.0,1.0,0.0
211,-0.069402990334,-0.0540305051895422,0.154,0.846,0.0
717,-0.0518382164613204,-0.0204711720406405,0.0,1.0,0.0
359,0.1690365847096905,0.00212882343444,0.0,0.778,0.222
449,-0.0703527074491335,-0.05795207239852,0.0,1.0,0.0
227,-0.0686749931578241,-0.0494550241948487,0.36,0.64,0.0
950,-0.0706229511857651,-0.0552689548784498,0.0,0.323,0.677
946,-0.0714211125411807,-0.0561385300280895,0.0,0.192,0.808
796,-0.0586125933659554,-0.0379764195235466,0.0,0.756,0.244
501,-0.0761910765506383,-0.0573541319078057,0.0,0.727,0.273
464,-0.1390396241115255,0.2413190657361906,0.0,0.822,0.178
362,-0.1112499612755433,0.1752549673010524,0.259,0.741,0.0
468,-0.057356297613063,-0.0251441486093943,0.0,1.0,0.0
935,0.0797496894112072,-0.0393644598486625,0.0,0.802,0.198
428,0.1446089455691029,-0.0215185017757814,0.0,0.772,0.228
7,0.1316100831509527,-0.0417619338684137,0.0,0.875,0.125
155,-0.0796472841230254,-0.0726968453900322,0.0,1.0,0.0
541,-0.0672217029446021,-0.0501485970315668,0.0,1.0,0.0
440,-0.0034078468548085,-0.0573944501657878,0.222,0.626,0.151
482,0.2194499994599382,-0.0135157563585742,0.0,0.667,0.333
422,-0.0665211993547838,-0.0497332661643203,0.0,1.0,0.0
778,0.1713397574879742,-0.0512658938203572,0.0,0.49,0.51
949,-0.0661021435876899,-0.05187230463411,0.0,1.0,0.0
334,-0.0780964313789643,-0.0597003752715569,0.0,0.735,0.265
576,-0.0767230298126778,-0.066128996154561,0.0,0.264,0.736
934,-0.0767458583295258,-0.0028772577158582,0.0,1.0,0.0
567,-0.0627669048567806,-0.0252070292030894,0.684,0.316,0.0
594,0.3193656048231139,0.0380443228361691,0.0,0.495,0.505
530,0.4253353532662776,0.0099728911472234,0.0,0.778,0.222
